,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,duration_min
84,60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,60ynsPSSKe6O3sfwRnIBRf,4,3.7831166666666665
46,0NIOJPJfM7tAEcDfhqfrEI,Moment I Feared,"Snoop Dogg, Rick Rock",0.818,0.784,1,-4.809,1,0.244,0.0365,0.0,0.156,0.441,98.926,0NIOJPJfM7tAEcDfhqfrEI,4,2.4513833333333332
12,0FYc9DIr89rbzt2WJMvyou,Get Into It (Yuh),Doja Cat,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,0FYc9DIr89rbzt2WJMvyou,4,2.304883333333333
2,0314PeD1sQNonfVWix3B2K,ENERGY (feat. Beam),"Beyoncé, BEAM",0.903,0.519,1,-9.151,1,0.26,0.281,0.000106,0.155,0.587,114.991,0314PeD1sQNonfVWix3B2K,4,1.94545
11,47IySiC5o08gz0z5VDiH93,Juice WRLD DID (feat. Juice WRLD),"DJ Khaled, Juice WRLD",0.652,0.716,1,-4.012,0,0.166,0.0196,0.0,0.11,0.681,147.959,47IySiC5o08gz0z5VDiH93,4,3.4608333333333334
47,1Is8hGpkGMiePASAxBluxM,16,Baby Keem,0.701,0.782,1,-4.987,1,0.138,0.0918,2.31e-06,0.124,0.57,94.03,1Is8hGpkGMiePASAxBluxM,4,2.6006666666666667
15,6rTInqW3YECMkQsBEHw4sd,Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna, Drake",0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987,6rTInqW3YECMkQsBEHw4sd,4,3.594883333333333
29,5zyZM1EiSqrniyqtprwxpv,Falling Back,Drake,0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,0.349,118.989,5zyZM1EiSqrniyqtprwxpv,4,4.4363166666666665
20,1dF5Y2dd7Wm4wZKvVjWBpr,1st of Tha Month,Bone Thugs-N-Harmony,0.729,0.581,5,-8.235,0,0.18,0.0777,3.81e-06,0.696,0.508,74.038,1dF5Y2dd7Wm4wZKvVjWBpr,4,5.244666666666666
4,3XaWuYsTtnkzCSBr0RmROc,Si No Le Contesto,Plan B,0.846,0.747,1,-5.074,0,0.0533,0.0947,0.0,0.159,0.517,95.003,3XaWuYsTtnkzCSBr0RmROc,4,3.6676166666666665
8,4tYFy8ALRjIZvnvSLw5lxN,Party,"Bad Bunny, Rauw Alejandro",0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4tYFy8ALRjIZvnvSLw5lxN,4,3.793816666666667
58,0dF7HP4wDwxCtID3mXpdYX,Baa Baa Black Sheep,Cocomelon,0.711,0.396,0,-11.266,1,0.0486,0.829,3e-05,0.119,0.969,199.955,0dF7HP4wDwxCtID3mXpdYX,4,2.463016666666667
